,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Remarks,BuySellSignal,Entry_Price,Target,Stoploss,Exit_Price
1,2021-01-27,EQ,1468.0,1471.9,1406.15,1462.85,1411.25,1409.6,1437.02,1511.65,738.75,11778138.0,16925445420.15,308009.0,HDFCBANK,1471.9,1517.7450000000001,1471.9,1517.7450000000001,,Hold,,,,
2,2021-01-28,EQ,1389.9,1401.3,1342.0,1409.6,1372.0,1371.45,1364.16,1511.65,738.75,21352223.0,29127886352.35,452148.0,HDFCBANK,1401.3,1534.96,1401.3,1534.96,,Hold,,,,
3,2021-01-29,EQ,1391.35,1408.75,1364.5,1371.45,1391.0,1390.5,1388.21,1511.65,738.75,14352251.0,19923891702.85,358077.0,HDFCBANK,1408.75,1555.05,1408.75,1555.05,,Hold,,,,
4,2021-02-01,EQ,1410.25,1482.5,1401.0,1390.5,1480.0,1476.75,1439.43,1511.65,738.75,13185272.0,18979231489.45,301952.0,HDFCBANK,1482.5,1574.1950000000002,1482.5,1574.1950000000002,,Hold,,,,
5,2021-02-02,EQ,1501.0,1578.5,1497.4,1476.75,1560.5,1560.55,1556.51,1578.5,738.75,21210103.0,33013801640.0,416712.0,HDFCBANK,1578.5,1588.18,1578.5,1588.18,,Hold,,,,
6,2021-02-03,EQ,1579.0,1581.7,1542.0,1560.55,1571.0,1574.8,1565.97,1581.7,738.75,10118627.0,15845498691.5,316129.0,HDFCBANK,1581.7,1594.7900000000002,1581.7,1594.7900000000002,,Hold,,,,
7,2021-02-04,EQ,1566.0,1588.0,1543.45,1574.8,1574.0,1579.1,1568.3,1588.0,738.75,12242342.0,19199713046.35,307724.0,HDFCBANK,1588.0,1595.9600000000003,1588.0,1595.9600000000003,,Hold,,,,
8,2021-02-05,EQ,1548.0,1618.25,1548.0,1579.1,1597.2,1597.6,1595.45,1618.25,738.75,13527358.0,21582228443.0,274934.0,HDFCBANK,1618.25,1593.48,1618.25,1593.48,,Hold,,,,
9,2021-02-08,EQ,1620.0,1631.65,1595.7,1597.6,1609.0,1605.25,1614.56,1631.65,738.75,8723790.0,14085076073.3,228373.0,HDFCBANK,1631.65,1587.63,1631.65,1587.63,,Hold,,,,
10,2021-02-09,EQ,1610.0,1628.0,1586.7,1605.25,1609.95,1611.85,1611.29,1631.65,738.75,9210683.0,14841062260.3,198426.0,HDFCBANK,1628.0,1581.9050000000002,1628.0,1581.9050000000002,,Hold,,,,
