DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3
2021-01-27,EQ,1468.0,1471.9,1406.15,1462.85,1411.25,1409.6,1437.02,1511.65,738.75,11778138,16925445420.15,308009,HDFCBANK,1471.9,1517.7450000000001,1471.9,1517.7450000000001
2021-01-28,EQ,1389.9,1401.3,1342.0,1409.6,1372.0,1371.45,1364.16,1511.65,738.75,21352223,29127886352.35,452148,HDFCBANK,1401.3,1534.96,1401.3,1534.96
2021-01-29,EQ,1391.35,1408.75,1364.5,1371.45,1391.0,1390.5,1388.21,1511.65,738.75,14352251,19923891702.85,358077,HDFCBANK,1408.75,1555.05,1408.75,1555.05
2021-02-01,EQ,1410.25,1482.5,1401.0,1390.5,1480.0,1476.75,1439.43,1511.65,738.75,13185272,18979231489.45,301952,HDFCBANK,1482.5,1574.1950000000002,1482.5,1574.1950000000002
2021-02-02,EQ,1501.0,1578.5,1497.4,1476.75,1560.5,1560.55,1556.51,1578.5,738.75,21210103,33013801640.0,416712,HDFCBANK,1578.5,1588.18,1578.5,1588.18
2021-02-03,EQ,1579.0,1581.7,1542.0,1560.55,1571.0,1574.8,1565.97,1581.7,738.75,10118627,15845498691.5,316129,HDFCBANK,1581.7,1594.7900000000002,1581.7,1594.7900000000002
2021-02-04,EQ,1566.0,1588.0,1543.45,1574.8,1574.0,1579.1,1568.3,1588.0,738.75,12242342,19199713046.35,307724,HDFCBANK,1588.0,1595.9600000000003,1588.0,1595.9600000000003
2021-02-05,EQ,1548.0,1618.25,1548.0,1579.1,1597.2,1597.6,1595.45,1618.25,738.75,13527358,21582228443.0,274934,HDFCBANK,1618.25,1593.48,1618.25,1593.48
2021-02-08,EQ,1620.0,1631.65,1595.7,1597.6,1609.0,1605.25,1614.56,1631.65,738.75,8723790,14085076073.3,228373,HDFCBANK,1631.65,1587.63,1631.65,1587.63
2021-02-09,EQ,1610.0,1628.0,1586.7,1605.25,1609.95,1611.85,1611.29,1631.65,738.75,9210683,14841062260.3,198426,HDFCBANK,1628.0,1581.9050000000002,1628.0,1581.9050000000002
2021-02-10,EQ,1608.35,1614.85,1567.0,1611.85,1592.5,1581.75,1592.85,1631.65,738.75,9894003,15759687718.6,229610,HDFCBANK,1614.85,1573.635,1614.85,1573.635
2021-02-11,EQ,1582.0,1597.8,1564.2,1581.75,1576.0,1572.35,1577.79,1631.65,738.75,6824309,10767295916.6,192335,HDFCBANK,1597.8,1576.105,1597.8,1576.105
2021-02-12,EQ,1573.9,1592.5,1573.0,1572.35,1589.55,1581.95,1584.36,1631.65,738.75,4955053,7850572958.05,164667,HDFCBANK,1592.5,1579.51,1592.5,1579.51
2021-02-15,EQ,1600.1,1625.0,1596.7,1581.95,1624.95,1616.6,1608.22,1631.65,738.75,5177622,8326776744.4,148039,HDFCBANK,1625.0,1574.7549999999999,1625.0,1574.7549999999999
2021-02-16,EQ,1621.2,1641.0,1608.45,1616.6,1625.5,1626.65,1625.28,1641.0,738.75,6948679,11293544900.15,180673,HDFCBANK,1641.0,1568.985,1641.0,1568.985
2021-02-17,EQ,1620.0,1621.8,1583.0,1626.65,1586.2,1586.5,1602.21,1641.0,738.75,6397213,10249658891.5,154614,HDFCBANK,1621.8,1563.1399999999999,1621.8,1563.1399999999999
2021-02-18,EQ,1605.95,1605.95,1548.0,1586.5,1559.0,1554.3,1570.9,1641.0,738.75,7360280,11562261540.35,260135,HDFCBANK,1605.95,1563.175,1605.95,1563.175
2021-02-19,EQ,1545.0,1564.2,1533.0,1554.3,1543.9,1539.1,1547.93,1641.0,738.75,8569754,13265355232.8,248392,HDFCBANK,1564.2,1562.95,1564.2,1562.95
2021-02-22,EQ,1545.05,1573.9,1539.45,1539.1,1542.0,1548.0,1557.44,1641.0,738.75,14725919,22934728117.95,299769,HDFCBANK,1573.9,1562.04,1573.9,1562.04
2021-02-23,EQ,1553.75,1557.7,1522.65,1548.0,1530.0,1529.15,1537.17,1641.0,738.75,9119953,14018955769.95,230064,HDFCBANK,1557.7,1559.19,1557.7,1559.19
2021-02-24,EQ,1526.5,1613.95,1516.25,1529.15,1612.0,1606.45,1561.95,1641.0,738.75,7157166,11179104534.25,144539,HDFCBANK,1613.95,1562.525,1613.95,1562.525
2021-02-25,EQ,1609.75,1636.25,1602.0,1606.45,1605.4,1606.4,1620.67,1641.0,738.75,10054785,16295464769.9,231264,HDFCBANK,1636.25,1557.455,1636.25,1557.455
2021-02-26,EQ,1587.05,1588.9,1521.0,1606.4,1537.45,1534.4,1543.86,1641.0,738.75,13956423,21546718494.6,397166,HDFCBANK,1588.9,1552.01,1588.9,1552.01
2021-03-01,EQ,1564.0,1572.55,1540.7,1534.4,1560.35,1558.9,1559.43,1641.0,738.75,6768009,10554225348.25,180747,HDFCBANK,1572.55,1551.435,1572.55,1551.435
2021-03-02,EQ,1575.7,1587.5,1551.0,1558.9,1573.0,1568.2,1569.86,1641.0,738.75,8055019,12645262470.8,188996,HDFCBANK,1587.5,1546.76,1587.5,1546.76
2021-03-03,EQ,1584.0,1596.0,1565.0,1568.2,1587.0,1586.85,1579.75,1641.0,738.75,5611205,8864314509.1,190986,HDFCBANK,1596.0,1539.475,1596.0,1539.475
2021-03-04,EQ,1548.55,1571.0,1539.1,1586.85,1553.0,1552.05,1552.34,1641.0,738.75,8145719,12644956162.75,220611,HDFCBANK,1571.0,1529.8899999999999,1571.0,1529.8899999999999
2021-03-05,EQ,1531.0,1545.6,1521.1,1552.05,1533.9,1530.0,1532.82,1641.0,738.75,8722911,13370624576.75,236265,HDFCBANK,1545.6,1524.435,1545.6,1524.435
