DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Signal,Remark,Stop Loss,Target,Entry_Price,Exit_Price,PNL,PNL%,Total PNL
2017-04-25,EQ,1535.05,1545.5,1529.6,1533.05,1539.25,1537.05,1537.68,1545.5,1084.5,2264445,3481999951.5,45495,HDFCBANK,1545.5,1542.5249999999999,1545.5,1542.5249999999999,Hold,,,,,,,,
2017-04-26,EQ,1542.95,1553.0,1468.45,1537.05,1552.95,1550.65,1546.13,1553.0,1084.5,1948963,3013353454.5,41591,HDFCBANK,1553.0,1543.9999999999998,1553.0,1543.9999999999998,Hold,,,,,,,,
2017-04-27,EQ,1546.1,1573.95,1546.1,1550.65,1554.0,1568.6,1565.15,1573.95,1084.5,4045105,6331191310.55,41855,HDFCBANK,1573.95,1543.5749999999998,1573.95,1543.5749999999998,Hold,,,,,,,,
2017-04-28,EQ,1559.9,1559.9,1537.1,1568.6,1545.0,1546.5,1544.82,1573.95,1084.5,1359432,2100076746.55,25722,HDFCBANK,1559.9,1541.8799999999997,1559.9,1541.8799999999997,Hold,,,,,,,,
2017-05-02,EQ,1547.0,1550.9,1530.35,1546.5,1542.85,1540.6,1540.81,1573.95,1113.15,1001760,1543518049.65,17111,HDFCBANK,1550.9,1542.5699999999997,1550.9,1542.5699999999997,Hold,,,,,,,,
2017-05-03,EQ,1554.25,1554.25,1539.35,1540.6,1541.05,1544.3,1543.93,1573.95,1113.15,626991,968031267.2,13977,HDFCBANK,1554.25,1544.4749999999997,1554.25,1544.4749999999997,Buy,crossover,1544.170491484815,1544.4942627727773,1544.3,,,,
2017-05-04,EQ,1539.25,1542.9,1522.6,1544.3,1533.5,1534.8,1529.35,1573.95,1113.15,1282757,1961782631.7,28722,HDFCBANK,1542.9,1545.7599999999998,1542.9,1545.7599999999998,Sell,Stop Loss,1544.170491484815,1544.4942627727773,1544.3,1534.8,-9.5,-0.6151654471281487,-9.5
2017-05-05,EQ,1542.1,1542.9,1526.3,1534.8,1531.0,1532.2,1531.86,1573.95,1113.15,689474,1056176850.6,20311,HDFCBANK,1542.9,1547.9899999999998,1542.9,1547.9899999999998,Hold,,,,,,,,
2017-05-08,EQ,1538.0,1540.0,1528.55,1532.2,1532.6,1534.8,1533.56,1573.95,1119.0,936813,1436656654.5,35872,HDFCBANK,1540.0,1550.8949999999998,1540.0,1550.8949999999998,Hold,,,,,,,,
2017-05-09,EQ,1534.8,1545.6,1532.65,1534.8,1533.9,1535.75,1537.87,1573.95,1119.0,836459,1286367997.95,25182,HDFCBANK,1545.6,1555.0149999999999,1545.6,1555.0149999999999,Hold,,,,,,,,
2017-05-10,EQ,1540.0,1555.0,1537.05,1535.75,1554.0,1551.8,1548.16,1573.95,1119.0,585561,906540275.6,11399,HDFCBANK,1555.0,1558.35,1555.0,1558.35,Hold,,,,,,,,
2017-05-11,EQ,1551.0,1560.0,1541.0,1551.8,1543.0,1546.4,1551.42,1573.95,1119.0,968936,1503227834.75,26482,HDFCBANK,1560.0,1559.8449999999998,1560.0,1559.8449999999998,Buy,crossover,1546.2706673564408,1546.5939989653389,1546.4,,,,
2017-05-12,EQ,1545.9,1556.9,1536.2,1546.4,1554.0,1551.65,1542.32,1573.95,1119.0,1536901,2370390260.75,18358,HDFCBANK,1556.9,1566.9199999999998,1556.9,1566.9199999999998,Sell,Target Hit,1546.2706673564408,1546.5939989653389,1546.4,1551.65,5.25,0.3394981893429902,-4.25
2017-05-15,EQ,1550.0,1557.2,1542.25,1551.65,1553.0,1553.4,1550.73,1573.95,1131.5,701195,1087367599.8,15104,HDFCBANK,1557.2,1574.355,1557.2,1574.355,Hold,,,,,,,,
