,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,Indicator1,Indicator2,Indicator3,Indicator4,BuySellSignal,Remarks,TotalAmount
0,HDFCBANK,2022-07-06,1348.0,1373.4,1347.1,1371.25,1725.0,1271.6,1373.4,1344.49,1373.4,1344.49,Hold,,
1,HDFCBANK,2022-07-07,1380.0,1398.0,1374.45,1395.8,1725.0,1271.6,1398.0,1344.955,1398.0,1344.955,Hold,,
2,HDFCBANK,2022-07-08,1410.0,1410.0,1394.75,1397.1,1725.0,1271.6,1410.0,1345.47,1410.0,1345.47,Hold,,
3,HDFCBANK,2022-07-11,1394.0,1409.9,1393.25,1406.15,1725.0,1271.6,1409.9,1345.9009999999998,1409.9,1345.9009999999998,Hold,,
4,HDFCBANK,2022-07-12,1405.25,1405.25,1389.4,1391.8,1725.0,1271.6,1405.25,1345.6629999999998,1405.25,1345.6629999999998,Hold,,
5,HDFCBANK,2022-07-13,1390.0,1394.2,1354.25,1357.85,1725.0,1271.6,1394.2,1345.7,1394.2,1345.7,Hold,,
6,HDFCBANK,2022-07-14,1362.0,1372.65,1349.25,1351.05,1725.0,1271.6,1372.65,1345.662,1372.65,1345.662,Hold,,
7,HDFCBANK,2022-07-15,1353.0,1364.9,1346.8,1362.05,1725.0,1271.6,1364.9,1346.5510000000002,1364.9,1346.5510000000002,Hold,,
8,HDFCBANK,2022-07-18,1348.0,1366.1,1342.05,1347.55,1725.0,1271.6,1366.1,1347.105,1366.1,1347.105,Hold,,
9,HDFCBANK,2022-07-19,1337.0,1358.55,1337.0,1348.05,1725.0,1271.6,1358.55,1347.245,1358.55,1347.245,Hold,,
10,HDFCBANK,2022-07-20,1359.9,1371.1,1355.25,1365.05,1725.0,1271.6,1371.1,1347.5739999999998,1371.1,1347.5739999999998,Hold,,
11,HDFCBANK,2022-07-21,1360.55,1369.5,1358.1,1360.75,1725.0,1271.6,1369.5,1348.7279999999998,1369.5,1348.7279999999998,Hold,,
12,HDFCBANK,2022-07-22,1366.0,1397.0,1362.4,1392.5,1725.0,1271.6,1397.0,1350.7509999999997,1397.0,1350.7509999999997,Hold,,
13,HDFCBANK,2022-07-25,1395.0,1404.6,1383.3,1396.6,1725.0,1271.6,1404.6,1352.5809999999997,1404.6,1352.5809999999997,Hold,,
14,HDFCBANK,2022-07-26,1396.0,1402.0,1386.3,1393.75,1725.0,1271.6,1402.0,1354.1759999999997,1402.0,1354.1759999999997,Hold,,
15,HDFCBANK,2022-07-27,1388.9,1406.0,1384.25,1404.4,1725.0,1271.6,1406.0,1355.9859999999999,1406.0,1355.9859999999999,Hold,,
16,HDFCBANK,2022-07-28,1415.05,1424.0,1411.0,1416.85,1725.0,1271.6,1424.0,1358.5819999999999,1424.0,1358.5819999999999,Hold,,
17,HDFCBANK,2022-07-29,1438.0,1438.6,1415.3,1434.2,1725.0,1271.6,1438.6,1360.8469999999998,1438.6,1360.8469999999998,Hold,,
18,HDFCBANK,2022-08-01,1439.0,1448.45,1430.05,1446.15,1725.0,1271.6,1448.45,1363.6899999999996,1448.45,1363.6899999999996,Hold,,
19,HDFCBANK,2022-08-02,1442.0,1444.6,1423.05,1430.25,1725.0,1271.6,1444.6,1365.9159999999997,1444.6,1365.9159999999997,Hold,,
20,HDFCBANK,2022-08-03,1424.95,1435.75,1417.0,1433.6,1725.0,1271.6,1435.75,1368.0119999999997,1435.75,1368.0119999999997,Hold,,
21,HDFCBANK,2022-08-04,1440.0,1446.7,1412.95,1431.9,1725.0,1271.6,1446.7,1369.3159999999998,1446.7,1369.3159999999998,Hold,,
22,HDFCBANK,2022-08-05,1433.0,1436.95,1421.15,1427.05,1725.0,1271.6,1436.95,1370.0159999999998,1436.95,1370.0159999999998,Hold,,
23,HDFCBANK,2022-08-08,1428.0,1464.5,1427.1,1462.05,1725.0,1271.6,1464.5,1371.2259999999997,1464.5,1371.2259999999997,Hold,,
24,HDFCBANK,2022-08-10,1461.35,1471.5,1449.05,1466.3,1725.0,1271.6,1471.5,1372.773,1471.5,1372.773,Hold,,
25,HDFCBANK,2022-08-11,1486.5,1491.0,1474.55,1485.7,1725.0,1271.6,1491.0,1374.5899999999997,1491.0,1374.5899999999997,Hold,,
26,HDFCBANK,2022-08-12,1485.0,1489.3,1475.95,1485.15,1725.0,1271.6,1489.3,1376.5909999999994,1489.3,1376.5909999999994,Hold,,
27,HDFCBANK,2022-08-16,1494.8,1508.5,1488.05,1502.15,1725.0,1271.6,1508.5,1379.0279999999993,1508.5,1379.0279999999993,Hold,,
28,HDFCBANK,2022-08-17,1500.0,1512.75,1485.75,1509.9,1725.0,1271.6,1512.75,1381.6569999999992,1512.75,1381.6569999999992,Hold,,
29,HDFCBANK,2022-08-18,1500.0,1513.9,1499.65,1511.7,1725.0,1271.6,1513.9,1384.638999999999,1513.9,1384.638999999999,Hold,,
30,HDFCBANK,2022-08-19,1510.0,1512.0,1490.0,1493.05,1725.0,1271.6,1512.0,1387.1519999999991,1512.0,1387.1519999999991,Hold,,
31,HDFCBANK,2022-08-22,1484.8,1488.35,1467.7,1470.35,1725.0,1271.6,1488.35,1389.0049999999994,1488.35,1389.0049999999994,Hold,,
32,HDFCBANK,2022-08-23,1453.3,1475.95,1450.4,1465.8,1725.0,1271.6,1475.95,1391.2989999999993,1475.95,1391.2989999999993,Hold,,
33,HDFCBANK,2022-08-24,1461.9,1475.5,1459.2,1472.85,1725.0,1271.6,1475.5,1394.2239999999993,1475.5,1394.2239999999993,Hold,,
34,HDFCBANK,2022-08-25,1479.9,1486.8,1457.0,1464.85,1725.0,1271.6,1486.8,1397.2809999999995,1486.8,1397.2809999999995,Hold,,
35,HDFCBANK,2022-08-26,1472.05,1481.8,1461.2,1465.1,1725.0,1271.6,1481.8,1400.4339999999997,1481.8,1400.4339999999997,Hold,,
36,HDFCBANK,2022-08-29,1437.0,1446.0,1428.6,1439.4,1725.0,1271.6,1446.0,1403.5959999999995,1446.0,1403.5959999999995,Hold,,
37,HDFCBANK,2022-08-30,1446.45,1489.95,1443.1,1486.1,1725.0,1271.6,1489.95,1407.5229999999997,1489.95,1407.5229999999997,Hold,,
38,HDFCBANK,2022-09-01,1464.75,1489.45,1459.0,1472.15,1725.0,1271.6,1489.45,1410.5229999999997,1489.45,1410.5229999999997,Hold,,
39,HDFCBANK,2022-09-02,1472.15,1490.5,1465.2,1485.5,1725.0,1271.6,1490.5,1413.5019999999995,1490.5,1413.5019999999995,Hold,,
40,HDFCBANK,2022-09-05,1486.1,1499.0,1484.1,1495.05,1725.0,1271.6,1499.0,1416.7979999999995,1499.0,1416.7979999999995,Hold,,
41,HDFCBANK,2022-09-06,1498.9,1506.65,1486.45,1489.35,1725.0,1271.6,1506.65,1419.8819999999998,1506.65,1419.8819999999998,Hold,,
42,HDFCBANK,2022-09-07,1471.3,1490.0,1471.3,1482.3,1725.0,1271.6,1490.0,1422.4519999999998,1490.0,1422.4519999999998,Hold,,
43,HDFCBANK,2022-09-08,1490.1,1500.0,1482.15,1497.6,1725.0,1271.6,1500.0,1425.279,1500.0,1425.279,Hold,,
44,HDFCBANK,2022-09-09,1496.2,1509.0,1494.05,1498.6,1725.0,1271.6,1509.0,1428.333,1509.0,1428.333,Hold,,
45,HDFCBANK,2022-09-12,1500.0,1504.0,1490.0,1493.55,1725.0,1271.6,1504.0,1431.3250000000003,1504.0,1431.3250000000003,Hold,,
46,HDFCBANK,2022-09-13,1498.9,1515.9,1498.55,1513.1,1725.0,1271.6,1515.9,1434.6270000000004,1515.9,1434.6270000000004,Hold,,
47,HDFCBANK,2022-09-14,1494.05,1538.9,1492.35,1528.65,1725.0,1271.6,1538.9,1438.1250000000002,1538.9,1438.1250000000002,Hold,,
48,HDFCBANK,2022-09-15,1530.0,1540.95,1512.0,1520.7,1725.0,1271.6,1540.95,1441.4260000000004,1540.95,1441.4260000000004,Hold,,
49,HDFCBANK,2022-09-16,1503.1,1514.7,1483.0,1492.75,1725.0,1271.6,1514.7,1444.2290000000003,1514.7,1444.2290000000003,Hold,,
50,HDFCBANK,2022-09-19,1489.0,1514.0,1480.0,1502.6,1725.0,1271.6,1514.0,1446.8560000000004,1514.0,1446.8560000000004,Hold,,
51,HDFCBANK,2022-09-20,1514.0,1524.0,1509.9,1520.7,1725.0,1271.6,1524.0,1449.3540000000003,1524.0,1449.3540000000003,Hold,,
52,HDFCBANK,2022-09-21,1508.0,1521.5,1505.0,1518.35,1725.0,1271.6,1521.5,1451.7790000000002,1521.5,1451.7790000000002,Hold,,
53,HDFCBANK,2022-09-22,1502.0,1510.15,1482.75,1486.0,1725.0,1271.6,1510.15,1453.3760000000004,1510.15,1453.3760000000004,Hold,,
54,HDFCBANK,2022-09-23,1472.35,1475.0,1437.0,1446.15,1725.0,1271.6,1475.0,1454.4630000000002,1475.0,1454.4630000000002,Hold,,
55,HDFCBANK,2022-09-26,1425.35,1436.45,1418.0,1426.65,1725.0,1271.6,1436.45,1455.839,1436.45,1455.839,Hold,,
56,HDFCBANK,2022-09-27,1432.4,1440.0,1407.0,1413.85,1725.0,1271.6,1440.0,1457.095,1440.0,1457.095,Hold,,
57,HDFCBANK,2022-09-28,1406.0,1410.6,1385.9,1389.55,1725.0,1271.6,1410.6,1457.645,1410.6,1457.645,Hold,,
58,HDFCBANK,2022-09-29,1396.3,1402.2,1378.8,1382.35,1725.0,1271.6,1402.2,1458.3410000000001,1402.2,1458.3410000000001,Hold,,
59,HDFCBANK,2022-09-30,1378.8,1431.45,1365.0,1421.35,1725.0,1271.6,1431.45,1459.807,1431.45,1459.807,Hold,,
60,HDFCBANK,2022-10-03,1409.95,1417.85,1401.1,1413.2,1725.0,1271.6,1417.85,1460.77,1417.85,1460.77,Hold,,
61,HDFCBANK,2022-10-04,1429.5,1458.0,1426.15,1453.0,1725.0,1271.6,1458.0,1462.615,1458.0,1462.615,Hold,,
62,HDFCBANK,2022-10-06,1459.95,1462.6,1434.2,1437.0,1725.0,1271.6,1462.6,1463.505,1462.6,1463.505,Hold,,
63,HDFCBANK,2022-10-07,1430.25,1434.95,1420.35,1430.8,1725.0,1271.6,1434.95,1464.1889999999999,1434.95,1464.1889999999999,Hold,,
64,HDFCBANK,2022-10-10,1408.0,1426.0,1398.2,1415.0,1725.0,1271.6,1426.0,1464.614,1426.0,1464.614,Hold,,
65,HDFCBANK,2022-10-11,1401.1,1417.0,1399.45,1400.65,1725.0,1271.6,1417.0,1464.539,1417.0,1464.539,Hold,,
66,HDFCBANK,2022-10-12,1403.2,1414.85,1397.3,1409.8,1725.0,1271.6,1414.85,1464.398,1414.85,1464.398,Hold,,
67,HDFCBANK,2022-10-13,1402.05,1406.25,1384.0,1393.6,1725.0,1271.6,1406.25,1463.586,1406.25,1463.586,Hold,,
68,HDFCBANK,2022-10-14,1417.0,1447.0,1415.25,1439.0,1725.0,1271.6,1447.0,1463.4430000000002,1447.0,1463.4430000000002,Hold,,
69,HDFCBANK,2022-10-17,1435.0,1457.6,1427.0,1446.55,1725.0,1271.6,1457.6,1463.7690000000002,1457.6,1463.7690000000002,Hold,,
70,HDFCBANK,2022-10-18,1458.05,1462.9,1440.0,1443.85,1725.0,1271.6,1462.9,1463.9740000000002,1462.9,1463.9740000000002,Hold,,
71,HDFCBANK,2022-10-19,1464.0,1477.4,1453.4,1458.65,1725.0,1271.6,1477.4,1464.5090000000002,1477.4,1464.5090000000002,Buy,,8541.35
72,HDFCBANK,2022-10-20,1444.0,1452.9,1442.5,1448.8,1725.0,1271.6,1452.9,1464.9440000000002,1452.9,1464.9440000000002,Sell,Condition Satisfied,9990.15
73,HDFCBANK,2022-10-21,1452.0,1457.65,1434.0,1438.6,1725.0,1271.6,1457.65,1464.4750000000004,1457.65,1464.4750000000004,Hold,,
74,HDFCBANK,2022-10-24,1454.3,1463.0,1454.3,1461.05,1722.1,1271.6,1463.0,1464.3700000000003,1463.0,1464.3700000000003,Hold,,
75,HDFCBANK,2022-10-25,1461.1,1467.8,1445.0,1450.9,1722.1,1271.6,1467.8,1463.6740000000002,1467.8,1463.6740000000002,Buy,,8539.25
76,HDFCBANK,2022-10-27,1464.5,1467.35,1451.25,1454.4,1722.1,1271.6,1467.35,1463.0590000000002,1467.35,1463.0590000000002,Hold,,
77,HDFCBANK,2022-10-28,1450.0,1467.0,1447.4,1458.7,1722.1,1271.6,1467.0,1462.1900000000003,1467.0,1462.1900000000003,Hold,,
78,HDFCBANK,2022-10-31,1472.0,1498.0,1467.25,1496.7,1722.1,1271.6,1498.0,1461.9260000000004,1498.0,1461.9260000000004,Hold,,
79,HDFCBANK,2022-11-01,1503.5,1529.0,1498.9,1513.25,1722.1,1271.6,1529.0,1461.9570000000003,1529.0,1461.9570000000003,Hold,,
80,HDFCBANK,2022-11-02,1517.0,1528.25,1511.6,1514.2,1722.1,1271.6,1528.25,1462.3800000000003,1528.25,1462.3800000000003,Hold,,
81,HDFCBANK,2022-11-03,1497.7,1520.25,1497.0,1507.55,1722.1,1271.6,1520.25,1463.1240000000003,1520.25,1463.1240000000003,Hold,,
82,HDFCBANK,2022-11-04,1503.2,1516.1,1489.6,1497.15,1722.1,1271.6,1516.1,1463.751,1516.1,1463.751,Hold,,
83,HDFCBANK,2022-11-07,1510.0,1512.0,1492.1,1508.8,1722.1,1271.6,1512.0,1464.47,1512.0,1464.47,Hold,,
84,HDFCBANK,2022-11-09,1515.05,1517.95,1504.0,1508.35,1722.1,1271.6,1517.95,1465.34,1517.95,1465.34,Hold,,
85,HDFCBANK,2022-11-10,1497.1,1527.0,1495.05,1524.75,1722.1,1271.6,1527.0,1466.533,1527.0,1466.533,Hold,,
86,HDFCBANK,2022-11-11,1545.0,1637.0,1538.0,1611.15,1722.1,1271.6,1637.0,1469.9679999999998,1637.0,1469.9679999999998,Hold,,
87,HDFCBANK,2022-11-14,1612.0,1628.0,1598.0,1615.05,1722.1,1271.6,1628.0,1472.5469999999998,1628.0,1472.5469999999998,Hold,,
88,HDFCBANK,2022-11-15,1623.15,1623.15,1605.25,1619.0,1722.1,1271.6,1623.15,1475.484,1623.15,1475.484,Hold,,
89,HDFCBANK,2022-11-16,1618.65,1642.0,1612.0,1632.9,1722.1,1271.6,1642.0,1478.4319999999998,1642.0,1478.4319999999998,Hold,,
90,HDFCBANK,2022-11-17,1618.1,1631.55,1613.9,1618.15,1722.1,1271.6,1631.55,1480.8939999999996,1631.55,1480.8939999999996,Hold,,
91,HDFCBANK,2022-11-18,1621.0,1623.0,1605.25,1613.9,1722.1,1271.6,1623.0,1483.3849999999993,1623.0,1483.3849999999993,Hold,,
